payroll (M's),HR,W,ERA,WinPercent,divID,H
31.135472,161,84,4.52,0.518518519,W,1531
41.281,147,85,4.49,0.524691358,W,1530
55.388166,158,70,4.79,0.432098765,W,1404
51.464167,236,82,5,0.50617284,W,1574
47.535167,158,75,4.2,0.462962963,W,1447
61.721667,152,99,3.69,0.611111111,W,1603
79.031667,150,77,4.28,0.475308642,W,1473
100.534667,162,92,4.28,0.567901235,W,1603
32.347,159,65,4.63,0.401234568,W,1353
68.703999,216,100,3.77,0.617283951,W,1566
81.027833,179,85,4.35,0.524691358,W,1466
85.082999,208,92,3.87,0.567901235,W,1494
102.819999,165,98,3.92,0.604938272,W,1471
80.657,152,84,3.84,0.518518519,W,1467
69.78075,135,51,4.98,0.314814815,W,1401
62.329166,191,77,4.84,0.475308642,W,1419
59.684226,160,76,4.48,0.469135802,W,1506
52.067546,171,90,4.13,0.555555556,W,1350
66.202712,159,82,3.98,0.50617284,W,1355
73.115666,173,70,4.42,0.432098765,W,1408
60.718166,180,65,4.81,0.401234568,W,1366
53.639833,172,94,3.8,0.580246914,W,1357
73.804833,165,81,3.93,0.5,W,1416
90.132,130,81,3.92,0.5,W,1468
97.8615,118,64,4.26,0.395061728,W,1379
61.834,154,79,4.04,0.487654321,W,1494
87.439063,190,69,5.09,0.425925926,W,1479
14.807,126,66,4.19,0.407407407,W,1359
17.102786,138,72,3.97,0.447204969,W,1348
16.54456,152,69,4.63,0.428571429,W,1401
12.728174,96,54,4.09,0.3375,W,1319
11.112334,128,63,3.7,0.39375,W,1281
14.555501,162,65,4.58,0.401234568,W,1376
18.4035,141,94,3.49,0.580246914,W,1407
34.625333,138,98,3.14,0.604938272,W,1391
41.641417,169,104,3.14,0.641975309,W,1444
49.383513,137,68,3.57,0.596491228,E,1031
47.235445,168,90,3.44,0.625,E,1202
49.6985,197,96,3.52,0.592592593,E,1514
52.2785,174,101,3.18,0.62345679,E,1490
61.186,215,106,3.25,0.654320988,E,1489
73.14,197,103,3.63,0.635802469,E,1481
84.537836,179,95,4.05,0.586419753,E,1490
91.936166,174,88,3.59,0.543209877,E,1432
92.870367,164,101,3.13,0.63125,E,1428
106.243667,235,101,4.1,0.62345679,E,1608
90.1825,178,96,3.74,0.592592593,E,1503
86.457302,184,90,3.98,0.555555556,E,1453
90.156876,222,79,4.6,0.487654321,E,1510
87.290833,176,84,4.11,0.518518519,E,1562
102.365683,130,72,4.46,0.444444444,E,1514
96.726166,149,86,3.57,0.530864198,E,1459
84.423666,139,91,3.56,0.561728395,E,1411
87.002692,173,89,3.48,0.549382716,E,1345
82.829942,149,94,3.42,0.580246914,E,1341
87.871525,181,96,3.18,0.592592593,E,1354
97.609,123,79,3.38,0.487654321,E,1316
71.78125,100,67,4.41,0.413580247,E,1361
68.498291,122,68,4.51,0.422360248,E,1404
11.560712,214,83,4.38,0.51552795,E,1451
13.001258,169,73,4.3,0.450617284,E,1425
13.900273,211,67,5.01,0.413580247,E,1437
13.532075,137,54,4.54,0.335403727,E,1275
8.275167,129,87,4,0.537037037,E,1369
9.680084,132,76,4.04,0.472049689,E,1328
17.519,170,67,4.59,0.413580247,E,1421
23.780667,148,89,3.79,0.549382716,E,1423
29.0965,157,85,4.31,0.524691358,E,1470
38.849769,139,63,4.31,0.5625,E,1047
43.942521,173,71,4.31,0.493055556,E,1267
54.490315,257,88,5.14,0.543209877,E,1557
58.5164,196,98,3.91,0.604938272,E,1498
72.355634,214,79,4.74,0.487654321,E,1520
80.605863,203,78,4.77,0.481481481,E,1572
81.447435,184,74,5.37,0.456790123,E,1508
67.59954,136,63,4.67,0.391304348,E,1359
60.493487,165,67,4.46,0.413580247,E,1353
73.8775,152,71,4.76,0.438271605,E,1516
51.623333,169,78,4.7,0.481481481,E,1614
73.914333,189,74,4.56,0.456790123,E,1492
72.585582,164,70,5.35,0.432098765,E,1556
93.174808,142,69,5.17,0.425925926,E,1529
67.196246,172,68,5.13,0.422360248,E,1486
67.101666,160,64,5.15,0.395061728,E,1508
81.6125,133,66,4.59,0.407407407,E,1440
85.304038,191,69,4.89,0.425925926,E,1434
77.353999,214,93,3.9,0.574074074,E,1375
84.393333,212,85,4.2,0.524691358,E,1460
103.416,211,96,3.43,0.592592593,E,1434
115.044833,217,81,4.05,0.5,E,1370
161.863456,253,89,4.22,0.549382716,E,1413
10.89756,162,81,4.06,0.5,E,1615
14.402239,144,95,3.93,0.590062112,E,1488
10.144167,174,78,4.77,0.481481481,E,1554
13.896092,124,89,3.97,0.549382716,E,1569
17.481748,108,83,4.01,0.512345679,E,1571
20.558333,106,88,3.72,0.543209877,E,1502
35.1675,126,84,4.01,0.518518519,E,1486
43.610584,84,73,3.58,0.450617284,E,1343
37.120583,114,80,3.77,0.49382716,E,1451
37.859084,120,54,4.93,0.469565217,E,1038
32.455518,175,86,4.39,0.597222222,E,1399
42.3935,209,85,4.98,0.524691358,E,1631
43.55875,185,78,4.85,0.481481481,E,1684
56.757,205,92,4.18,0.567901235,E,1568
63.4975,176,94,4,0.580246914,E,1551
77.940333,167,85,4.23,0.524691358,E,1503
110.035833,198,82,4.15,0.50931677,E,1493
108.36606,177,93,3.75,0.574074074,E,1560
99.9465,238,95,4.48,0.586419753,E,1667
127.2985,222,98,4.18,0.604938272,E,1613
123.505125,199,95,4.74,0.586419753,E,1579
120.099824,192,86,4.83,0.530864198,E,1510
143.026214,166,96,3.87,0.592592593,E,1561
133.390035,173,95,4.01,0.586419753,E,1565
121.345999,212,95,4.35,0.586419753,E,1495
162.447333,211,89,4.2,0.549382716,E,1511
161.762475,203,90,4.2,0.555555556,E,1600
173.186617,165,69,4.7,0.425925926,E,1459
151.53,178,97,3.79,0.598765432,E,1566
139.019929,123,71,4.01,0.438271605,E,1355
181.1034,161,78,4.31,0.481481481,E,1495
188.545761,208,93,4,0.574074074,E,1598
14.427894,153,90,3.91,0.555555556,W,1364
14.427258,167,92,3.84,0.567901235,W,1387
12.843499,172,75,4.38,0.462962963,W,1406
11.947388,124,75,4.32,0.462962963,W,1458
15.097833,145,91,3.28,0.561728395,W,1422
21.72,147,80,3.79,0.49382716,W,1448
33.060001,115,81,3.69,0.5,W,1396
34.749334,88,72,3.84,0.444444444,W,1306
28.588334,114,71,4.34,0.438271605,W,1399
25.156218,120,47,5.42,0.408695652,W,1042
31.223171,186,78,4.52,0.537931034,W,1390
28.738,192,70,5.3,0.434782609,W,1571
9.846178,146,85,4.07,0.524691358,W,1386
10.418819,121,72,3.93,0.444444444,W,1335
10.641843,173,77,4.3,0.475308642,W,1427
6.39,132,71,4.12,0.440993789,W,1327
7.26541,94,69,4.23,0.428571429,W,1493
9.4915,106,94,3.61,0.580246914,W,1393
16.919667,139,87,3.79,0.537037037,W,1464
30.160833,110,86,3.82,0.530864198,W,1434
39.696166,162,94,3.7,0.580246914,W,1454
39.183836,121,67,3.96,0.592920354,C,1133
46.961282,146,68,4.85,0.472222222,C,1417
45.1395,195,85,4.52,0.524691358,C,1586
57.74,158,80,4.73,0.49689441,C,1498
38.335,198,80,5.22,0.49382716,C,1516
25.62,162,75,4.92,0.465838509,C,1563
31.1335,216,95,4.66,0.586419753,C,1615
65.653667,214,83,4.55,0.512345679,C,1463
57.052833,217,81,4.53,0.5,C,1475
51.01,220,86,4.17,0.530864198,C,1445
